StockCode,MarketCode,CompanyName,CurrentPrice,MaxPrice,MinPrice,MaxVolume,AverageVolume,IsCsvOutput
1418,JQ_Standard,インターライフ,261,329,241,14361300,241137,True
2134,JQ_Standard,サンキャピタル,84,108,60,49119400,1469348,True
2150,TSE_Mothers,ケアネット,1468,1970,763,2578600,93410,False
2162,JQ_Standard,nms,901,969,464,1868300,87526,False
2342,TSE_Mothers,トランス,625,824,578,9211700,370039,False
2370,TSE_Mothers,MDNT,132,185,122,43117800,1207765,True
2477,TSE_Mothers,比較.com,1899,2387,1023,2818000,48081,False
2667,JQ_Standard,イメージワン,349,455,326,7288300,147749,True
2703,JQ_Standard,日本ライトン,313,323,200,17203500,827897,True
3237,TSE_Mothers,イントランス,219,284,198,27106500,711639,True
3323,JQ_Standard,レカム,93,136,55,91584800,3139267,False
3727,TSE_Mothers,APLIX,435,632,402,8348400,261988,True
3779,JQ_Standard,J･エスコムHD,132,177,81,11849200,415500,False
3840,TSE_Mothers,PATH,181,213,90,9705300,470616,False
3851,JQ_Standard,日本一S,1661,2124,860,12493300,560535,False
3891,JQ_Standard,高度紙,2001,2010,857,1359900,45381,False
3900,TSE_Mothers,クラウドワクス,949,1218,660,8572500,219135,False
3913,TSE_Mothers,sMedio,2070,2373,1399,2260700,67674,False
3929,TSE_Mothers,ソーシャルワイヤ,2014,2044,1260,700400,30530,False
3930,TSE_Mothers,はてな,2401,2625,1658,785100,34652,False
4080,JQ_Standard,田中化研,1518,1550,640,6517500,260412,False
4239,JQ_Standard,ポラテクノ,864,1067,636,2064200,72961,False
4335,JQ_Standard,IPS,811,1141,407,1645700,74535,False
4347,JQ_Standard,ブロメディア,103,152,82,93943100,2849664,True
4355,JQ_Standard,ロングライフ,568,731,334,16431200,725716,False
4736,JQ_Standard,日本ラッド,1307,1307,823,3255800,103696,False
4777,JQ_Standard,ガーラ,423,604,277,11547800,521539,False
4800,JQ_Standard,オリコン,353,393,230,6990200,283700,True
4814,JQ_Standard,ネクストウェア,374,486,209,18076400,828604,False
4842,JQ_Standard,USEN,460,462,378,11494100,501107,False
6092,TSE_Mothers,エンバイオHD,1410,1410,619,5152700,190680,False
6095,TSE_Mothers,メドピア,710,874,465,2797500,114240,False
6149,JQ_Standard,小田原,2631,2631,837,1065200,47782,False
6255,TSE_Mothers,エヌピーシー,238,268,163,7031000,320917,False
6400,JQ_Standard,不二精機,213,267,139,12261800,486563,False
6539,TSE_Mothers,MS-Japan,3450,4240,3030,3349400,142666,False
6542,JQ_Standard,FCHD,817,1215,545,6600400,161533,False
6628,JQ_Standard,オンキヨー,240,295,108,105011900,4139973,False
6629,JQ_Standard,テクノHR,248,294,220,23262100,449233,True
6658,JQ_Standard,シライ電子,302,378,238,15152700,297470,False
6736,JQ_Standard,サン電子,687,893,640,17008900,464604,False
6777,JQ_Standard,santec,1136,1159,535,5641500,184100,False
6840,JQ_Standard,AKIBA,341,430,223,18184000,831486,False
6852,JQ_Standard,テクノセブン,205,253,152,8793000,281331,True
6864,JQ_Standard,NF回路,1340,1340,675,1861400,50595,False
6944,JQ_Standard,アイレックス,262,347,186,22070000,621070,False
7571,JQ_Standard,ヤマノHD,117,151,83,13840600,511730,False
7746,JQ_Standard,岡本硝子,220,274,144,87694200,1007755,False
7826,JQ_Standard,フルヤ金属,2940,2940,1691,738700,26657,False
7963,JQ_Standard,興研,1819,2305,1558,1741800,52905,False
8256,JQ_Standard,プロルート,173,174,107,17166400,678571,False
8789,TSE_Mothers,フィンテック,111,141,100,44206400,1698024,False
8927,JQ_Standard,明豊エンター,172,190,127,13605600,506545,False
9423,JQ_Standard,フォーバルRS,108,141,94,18232700,508326,False
9758,JQ_Standard,ジシステム,466,672,385,4380400,193432,True
9927,JQ_Standard,ワットマン,145,185,112,15897000,323690,True
6543,JQ_Standard,日宣,2305,2750,2305,909200,23228,False
3558,TSE_Mothers,ロコンド,2076,2735,1630,3997100,115323,False
6694,JQ_Standard,ズーム,1641,2020,1446,2606500,61462,False
